Year,Food,Price
01/04/2019,Cereals,94.6
01/05/2019,Cereals,94.4
01/06/2019,Cereals,99.2
01/07/2019,Cereals,97.6
01/08/2019,Cereals,92.6
01/09/2019,Cereals,91.8
01/10/2019,Cereals,96
01/11/2019,Cereals,95.6
01/12/2019,Cereals,97.4
01/01/2020,Cereals,100.7
01/02/2020,Cereals,99.6
01/03/2020,Cereals,98
01/04/2020,Cereals,99.6
01/05/2020,Cereals,98
01/06/2020,Cereals,97.3
01/07/2020,Cereals,97.3
01/08/2020,Cereals,99.2
01/09/2020,Cereals,104.3
01/10/2020,Cereals,112.1
01/11/2020,Cereals,114.8
01/12/2020,Cereals,116.4
01/01/2021,Cereals,125
01/02/2021,Cereals,126.1
01/03/2021,Cereals,123.9
01/04/2021,Cereals,126.2
01/05/2021,Cereals,133.7
01/06/2021,Cereals,130.3
01/07/2021,Cereals,126.3
01/08/2021,Cereals,130.4
01/09/2021,Cereals,132.8
01/10/2021,Cereals,137.1
01/11/2021,Cereals,141.4
01/12/2021,Cereals,140.5
01/01/2022,Cereals,140.6
01/02/2022,Cereals,145.3
01/03/2022,Cereals,170.1
01/04/2022,Cereals,169.7
01/05/2022,Cereals,173.5
01/06/2022,Cereals,166.3
01/07/2022,Cereals,147.3
01/08/2022,Cereals,145.6
01/09/2022,Cereals,147.9
01/10/2022,Cereals,152.3
01/11/2022,Cereals,150.1
01/12/2022,Cereals,147.3
01/01/1990,Dairy,53.5
01/02/1990,Dairy,52.2
01/03/1990,Dairy,41.4
01/04/1990,Dairy,48.4
01/05/1990,Dairy,39.2
01/06/1990,Dairy,39.2
01/07/1990,Dairy,39.2
01/08/1990,Dairy,36.8
01/09/1990,Dairy,38.1
01/10/1990,Dairy,38.9
01/11/1990,Dairy,39.4
01/12/1990,Dairy,45.1
01/01/1991,Dairy,46.9
01/02/1991,Dairy,46.7
01/03/1991,Dairy,45.8
01/04/1991,Dairy,42.8
01/05/1991,Dairy,42.1
01/06/1991,Dairy,43.4
01/07/1991,Dairy,40.4
01/08/1991,Dairy,41.7
01/09/1991,Dairy,45.4
01/10/1991,Dairy,48.8
01/11/1991,Dairy,50.8
01/12/1991,Dairy,50.8
01/01/1992,Dairy,52.9
01/02/1992,Dairy,52.9
01/03/1992,Dairy,52.4
01/04/1992,Dairy,52.4
01/05/1992,Dairy,54.6
01/06/1992,Dairy,57.7
01/07/1992,Dairy,58.1
01/08/1992,Dairy,56.6
01/09/1992,Dairy,58.1
01/10/1992,Dairy,54.9
01/11/1992,Dairy,53.8
01/12/1992,Dairy,53.2
01/01/1993,Dairy,53.3
01/02/1993,Dairy,54
01/03/1993,Dairy,53.3
01/04/1993,Dairy,52.4
01/05/1993,Dairy,51.7
01/06/1993,Dairy,51.8
01/07/1993,Dairy,49.7
01/08/1993,Dairy,48
01/09/1993,Dairy,45.1
01/10/1993,Dairy,41
01/11/1993,Dairy,41.2
01/12/1993,Dairy,41.8
01/01/1994,Dairy,45.5
01/02/1994,Dairy,45.4
01/03/1994,Dairy,46
01/04/1994,Dairy,42.3
01/05/1994,Dairy,42.3
01/06/1994,Dairy,45.1
01/07/1994,Dairy,45.6
01/08/1994,Dairy,46.6
01/09/1994,Dairy,49.9
01/10/1994,Dairy,52
01/11/1994,Dairy,53.2
01/12/1994,Dairy,55
01/01/1995,Dairy,58.9
01/02/1995,Dairy,61.1
01/03/1995,Dairy,61.8
01/04/1995,Dairy,61.1
01/05/1995,Dairy,61.2
01/06/1995,Dairy,61.2
01/07/1995,Dairy,64.6
01/08/1995,Dairy,64.3
01/09/1995,Dairy,64.3
01/10/1995,Dairy,64.8
01/11/1995,Dairy,64.8
01/12/1995,Dairy,64.4
01/01/1996,Dairy,64.3
01/02/1996,Dairy,64.2
01/03/1996,Dairy,63
01/04/1996,Dairy,62.7
01/05/1996,Dairy,61
01/06/1996,Dairy,61.1
01/07/1996,Dairy,61.3
01/08/1996,Dairy,60.7
01/09/1996,Dairy,60.1
01/10/1996,Dairy,61
01/11/1996,Dairy,59.9
01/12/1996,Dairy,60.2
01/01/1997,Dairy,60.3
01/02/1997,Dairy,59.5
01/03/1997,Dairy,59.3
01/04/1997,Dairy,59.1
01/05/1997,Dairy,58.8
01/06/1997,Dairy,58.6
01/07/1997,Dairy,58.1
01/08/1997,Dairy,57.8
01/09/1997,Dairy,59
01/10/1997,Dairy,60.8
01/11/1997,Dairy,61
01/12/1997,Dairy,61
01/01/1998,Dairy,60.9
01/02/1998,Dairy,59.7
01/03/1998,Dairy,57.8
01/04/1998,Dairy,57.6
01/05/1998,Dairy,56.5
01/06/1998,Dairy,55.6
01/07/1998,Dairy,55.3
01/08/1998,Dairy,55.4
01/09/1998,Dairy,53.9
01/10/1998,Dairy,52.1
01/11/1998,Dairy,52.1
01/12/1998,Dairy,52.3
01/01/1999,Dairy,52.4
01/02/1999,Dairy,51.5
01/03/1999,Dairy,50.7
01/04/1999,Dairy,48
01/05/1999,Dairy,47.4
01/06/1999,Dairy,47.1
01/07/1999,Dairy,46.4
01/08/1999,Dairy,46.4
